"Data Source","World Development Indicators",

"Last Updated Date","2017-09-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Cote d'Ivoire","CIV","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","16.63","19.3","19.31","20.87","20.99","22.3","23.51","24.24","25.85","26.38","28.83","27.98","29.97","33.7","37.69","37.01","37.99","40.44","43.04","45.19","47.14","46.47","45.68","53.08","52.59","54.82","56.67","60.81","61.08","65.85","65.71","68.3","69.28","71.2","78.93","82.46","84.14","85.79","86.98","92.69","90.39","93.18","93.95","97.99","97.93","104.08","100.84","107.71","101.76","109.17","114.23","121.8","125.11","129.92","","",
"Cameroon","CMR","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","24.85","26.3","28.35","29.22","26.92","28.41","31.29","32.65","32.21","35.39","36.92","38.64","39.72","42.8","42.93","41.47","42.58","41.71","42.83","43.57","44.36","45.9","47.19","46.29","50.22","53.51","48.58","50.19","52.24","56.15","56.93","57.76","61.18","63.12","66.92","69.76","67.77","71.01","75.36","76.88","78.34","81.29","84.08","88.24","102.19","109.56","116.69","122.14","132.08","143.76","149.33","156.83","160.87","162.71","","",
"Congo, Dem. Rep.","COD","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","60.42","61.09","61.36","62.23","62.49","63","65.16","68","69.05","71.45","71.51","72.85","75.25","77.22","79.11","79.96","80.73","78.58","82.61","85.8","86.42","91.28","93.97","96.67","100.21","102.78","105.31","108.48","112.25","117.69","121.78","125.16","125.93","129.19","107.03","106.62","104.07","106.41","104","102.05","100.1","98.22","99","99.53","99.97","100.5","101.26","102.04","103.09","105.63","110.31","111.5","110.35","105.84","","",
"Congo, Rep.","COG","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","38.85","39.81","40.56","42.15","43.41","44.89","48.45","48.4","47.81","47.58","48.72","46.96","48.35","46.73","48.13","48.91","49.15","48.72","50.58","51.84","54.05","56.82","55.99","58.35","60.75","60.13","61.64","63.35","62.2","62.4","60.43","61.65","62.89","67","72.56","75.32","75.9","75.71","80.93","82.28","83.62","86.4","87.76","94.03","100.39","105.58","110.16","116.51","120.86","124.61","127.25","131.05","133.43","106.6","","",
"Colombia","COL","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","26.35","28.44","28.05","29.53","30.08","30.02","30.67","31.89","32.53","34.04","36.08","36.66","36.95","39.59","43.19","45.87","45.81","48.38","50.2","50.68","52.13","51.45","50.25","52.05","52.66","54.42","56.01","59.74","64.53","70.09","70.86","70.19","72","74.7","78.88","79.66","81.77","80.5","85.55","86.98","88.41","90.36","93.45","97.68","98.78","103.55","106.47","109.94","105.44","102.53","105.31","112.31","116.04","115.79","","",
"Comoros","COM","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","42.7","42.22","47.11","47.83","48.8","49.93","50.48","51.19","53.82","52.11","53.89","53.54","53.52","57.38","57.64","57.49","60.94","61.38","61.29","62.61","58.53","63.23","64.57","61.28","63.95","66.76","72.15","74.73","74.94","81.26","83.33","85.23","88.52","88.57","88.92","91.35","89.97","94.38","95.99","96.45","97.95","97.72","99.17","100.07","96.01","103.92","107.46","107.89","106.55","106.38","105.67","101.54","106.54","108.8","","",
"Cabo Verde","CPV","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","27.54","29.89","31.35","33.86","37.29","38.69","38.83","29.3","29.63","25.96","22.89","22.64","21.9","21.11","21.62","24.32","24.52","27.15","27.69","37.21","28.12","31.08","26.32","32.94","33.49","37.96","55.99","57.72","58.85","59.45","54.55","65.87","67.04","56.76","69.23","60.32","64.42","71.95","86.04","96.62","97.79","93.61","96.47","98.31","99.28","102.41","109.52","111.66","110.23","103.19","90.59","94.32","98.27","100.8","","",
"Costa Rica","CRI","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","14.73","15.62","16.57","17.61","18.22","18.86","19.65","23.42","25.61","28.45","30.35","31.83","33.02","32.07","36.31","37.51","38.09","38.17","39.28","38.25","39.13","36.68","38.95","40.57","41.8","43.15","44.57","46.06","53.58","60.91","63.21","66.09","66.89","70.63","74.84","78.81","80.04","83.61","87.49","87.34","88.38","85.3","89.52","91.68","97.76","110.56","108.22","106.8","109.52","115.34","119.89","121.15","124.75","129.53","","",
"Caribbean small states","CSS","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","68.9304609579437","68.9471698473758","70.6335791816093","73.7331131271048","77.7136739538709","78.4441810069098","79.2689289928129","76.9824677841193","77.0583918591121","78.2789098160414","80.5301355424179","78.3739896889606","75.3655506511224","79.377222171601","78.1718051356648","79.9865722983392","81.8672661670157","85.6091485480861","81.3359374654083","81.3978092944771","81.5631503970167","81.4799555082124","77.998494102601","82.9511767182949","80.9964463897496","83.5362674951044","82.4433383382322","83.7206944838992","79.649318396161","84.8470414196357","86.9466287310403","94.0976139379636","95.6250441317425","95.6109219741471","101.60270175984","105.946383807152","102.684375137639","96.4583213415397","102.004833692951","98.0874031053366","100.508444281214","100.535150539637","103.266599535926","103.476194726376","96.1067355467524","100.417069726871","100.752645748939","96.5556383879394","100.588493144811","102.564336798078","104.117424575211","107.613637343459","112.103644518727","","","",
"Cuba","CUB","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","84.47","68.01","63.47","70.14","85.34","71.58","87.87","84.39","81.04","120.86","91.95","84.48","88.66","92.9","91.48","96.58","104.72","121.03","124.37","115.71","122.86","125.01","124.59","132.76","128.03","129.75","127.14","132.74","136.36","143.95","135.13","117.33","85.45","85.96","79.68","93.2","88.59","84.03","99.8","114.43","112.24","116.92","115.03","119.54","96.7","83.76","90.94","93.62","96.86","88.18","92.54","96.74","100.72","101.16","","",
