,country,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
47,Caribbean small states,CSS,6627.0,5927.0,2549.0,901.0,1028.0,929.0,875.0,776.0,643.0,620.0,538.0,471.0,522.0,688.0,1006.0,1608.0,2297.0,3041.0,3320.0,3563.0,3872.0,4576.0,5155.0,5655.0,6222.0,6358.0,5622.0
48,Cuba,CUB,13523.0,17615.0,21273.0,22406.0,23316.0,24854.0,25462.0,24913.0,23559.0,23328.0,20084.0,18959.0,18043.0,16093.0,15659.0,19000.0,33580.0,7503.0,7938.0,7549.0,7477.0,7856.0,7731.0,7460.0,7502.0,6833.0,5925.0
49,Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,35.0,35.0,35.0,35.0
50,Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,6.0,6.0,6.0,6.0
51,Cyprus,CYP,11.0,,,,6.0,9.0,10.0,8.0,11.0,16.0,11.0,5.0,7.0,5.0,2.0,5.0,5.0,9.0,10.0,11.0,13.0,11.0,11.0,10.0,10.0,4.0,
52,Czech Republic,CZE,6123.0,4491.0,3327.0,5015.0,4648.0,2039.0,977.0,698.0,1934.0,1243.0,810.0,1179.0,6984.0,6702.0,4542.0,3589.0,2138.0,1384.0,1358.0,1067.0,817.0,763.0,622.0,991.0,1327.0,1285.0,1266.0
53,Germany,DEU,,4.0,4.0,8.0,449.0,386.0,420.0,443.0,688.0,1298.0,1183.0,1033.0,928.0,725.0,78.0,78.0,114.0,129.0,166.0,170.0,164.0,174.0,182.0,175.0,176.0,161.0,67.0
54,Djibouti,DJI,5.0,10.0,11.0,38.0,18068.0,18095.0,18101.0,8142.0,3219.0,1879.0,1910.0,452.0,471.0,522.0,495.0,504.0,486.0,648.0,650.0,622.0,566.0,602.0,640.0,762.0,879.0,1069.0,1417.0
55,Dominica,DMA,,,,,,,1.0,1.0,1.0,3.0,2.0,5.0,6.0,17.0,25.0,30.0,49.0,58.0,56.0,53.0,52.0,52.0,54.0,43.0,38.0,38.0,20.0
56,Denmark,DNK,,,,,11.0,18.0,34.0,33.0,28.0,25.0,25.0,3.0,8.0,10.0,10.0,12.0,12.0,14.0,11.0,10.0,9.0,9.0,9.0,10.0,12.0,9.0,
57,Dominican Republic,DOM,,,,1.0,29.0,30.0,29.0,47.0,42.0,45.0,47.0,46.0,83.0,92.0,97.0,67.0,150.0,358.0,318.0,230.0,246.0,250.0,289.0,306.0,349.0,382.0,344.0
58,Algeria,DZA,19.0,55.0,71.0,86.0,20743.0,1520.0,2247.0,3418.0,5727.0,7151.0,8034.0,8418.0,12107.0,11667.0,10691.0,12041.0,8353.0,10615.0,9060.0,8185.0,6689.0,6121.0,5677.0,3660.0,3524.0,3490.0,3675.0
59,East Asia & Pacific (excluding high income),EAP,694681.0,712095.0,976759.0,1013131.0,930497.0,932862.0,891041.0,870786.0,839464.0,926542.0,849431.0,792396.0,784817.0,707880.0,711122.0,727807.0,804964.0,724625.0,740995.0,976628.0,987173.0,988923.0,990050.0,1031230.0,1044330.0,1017894.0,1065977.0
60,Early-demographic dividend,EAR,2159801.0,1269446.0,1706039.0,1643715.0,3439223.0,2825115.0,1584135.0,1117615.0,1023072.0,979109.0,970362.0,1167107.0,1481931.0,1325164.0,1307351.0,1360701.0,1399244.0,1318057.0,1300876.0,1265484.0,1259426.0,1246423.0,1957421.0,3653593.0,5372367.0,6515406.0,7007577.0
